Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1,Client_0,Client_1
517,613,672,780,517,616,535,648,500,605
446,533,648,759,374,521,366,521,448,534
402,466,752,864,303,346,316,382,227,270
469,529,668,773,288,329,335,379,301,358
421,509,611,687,356,513,408,488,390,470
350,395,493,541,415,477,414,502,372,451
535,619,424,468,385,448,457,544,391,450
473,560,484,563,477,561,486,572,512,578
1224,1411,298,415,1627,1862,921,1095,1518,1745
1098,1318,522,582,1232,1441,934,1504,924,1084
1175,1376,515,578,950,1120,959,1121,916,1093
1021,1216,1044,1182,919,1207,1375,1528,576,808
671,813,700,1037,910,1000,682,813,420,511
472,566,988,1108,539,599,446,553,342,409
279,316,1187,1403,362,400,320,372,387,443
286,407,568,672,363,402,401,464,289,351
350,415,400,473,404,463,409,479,267,328
1003,1206,427,490,1021,1165,1236,1452,988,1118
2086,2492,440,481,4403,6040,2481,3638,5409,5959
1036,1232,431,503,1195,1439,993,1242,971,1205
2027,2218,1199,1370,1543,1934,1646,1886,1380,1593
1371,1787,1354,1660,1313,1471,1139,1359,1054,1265
303,387,1289,1499,299,380,290,347,361,435
390,444,1367,1655,354,410,319,376,327,367
417,463,1028,1196,317,382,281,337,263,368
442,520,498,550,472,538,484,569,373,446
410,463,483,576,475,567,488,556,390,450
749,848,365,434,574,813,655,743,531,631
586,772,487,561,715,907,811,1025,619,738
486,588,573,649,555,683,493,604,467,575
479,566,683,812,591,687,556,670,420,502
605,710,646,764,470,552,510,627,415,492
418,501,650,760,503,586,477,578,505,619
463,557,523,608,440,525,429,530,512,604
631,779,716,856,452,555,448,545,439,533
607,744,564,665,388,446,419,506,598,685
442,530,539,597,339,539,385,478,522,647
488,565,611,766,426,494,516,617,348,412
460,550,518,625,351,411,457,537,591,673
384,441,527,613,380,435,499,576,408,464
829,961,582,662,845,977,581,710,442,538
422,498,468,563,380,465,411,496,348,426
495,553,575,645,448,535,512,608,422,520
376,462,644,783,466,562,465,566,438,524
853,1000,553,631,460,543,501,605,627,718
1126,1285,669,735,991,1179,1003,1192,930,1125
1658,2691,519,607,3961,5209,2673,2949,4460,4619
982,1155,625,751,936,1106,901,1071,875,1081
3739,4262,1193,1402,7409,8031,3502,4827,6594,6794
856,977,1273,1479,868,1026,875,1035,796,915
2572,2854,1028,1228,5760,6128,3810,4869,3763,4134
992,1175,1653,1956,1018,1182,837,1069,817,980
2979,3237,939,1129,5573,5908,4714,5247,4685,5025
1050,1373,2196,2508,1053,1220,875,1095,912,1077
2301,2707,982,1174,2448,2845,2998,3213,2410,2674
990,1175,1586,2227,1052,1263,1090,1313,872,1053
1097,1435,1094,1322,1043,1429,2014,2227,997,1192
950,1415,1028,1271,1166,1397,1238,1429,982,1181
1028,1236,969,1095,935,1167,903,1071,991,1177
1532,1685,1664,1859,1013,1218,1508,1782,2274,3603
640,768,1263,1493,408,501,443,515,331,398
1058,1250,1050,1244,1042,1187,1087,1249,912,1068
1626,1933,976,1244,1648,3146,3627,4249,3689,5405
1037,1214,491,910,1002,1195,1110,1247,903,1038
1563,1901,1102,1238,1482,1674,2968,3312,1671,1972
540,631,2550,2760,507,598,490,579,436,517
322,379,1051,1262,311,349,250,357,250,356
366,413,2473,2683,371,417,304,361,279,317
531,626,516,719,446,570,645,706,354,393
393,489,423,467,329,372,319,359,243,281
421,494,379,418,355,434,362,405,345,386
431,522,683,748,429,503,418,507,407,487
564,644,481,538,378,445,450,513,406,486
922,1040,462,524,507,688,762,855,527,652
453,510,516,603,547,606,425,477,380,458
639,712,483,553,428,513,459,526,460,533
660,752,643,771,495,592,612,764,553,662
1913,2066,509,561,1532,1647,1737,1906,1123,1421
799,877,783,891,629,754,614,727,621,692
664,857,595,670,440,664,527,603,519,612
737,914,1579,1745,746,939,1185,1337,765,877
591,693,652,752,584,764,953,1088,669,809
551,627,727,882,520,613,509,603,407,507
583,679,704,817,667,871,925,1049,633,823
821,944,626,735,507,615,418,488,512,622
617,714,731,806,497,565,520,624,557,671
746,1224,592,725,593,713,579,674,571,679
1042,1165,766,936,851,1020,1270,1442,547,663
662,778,588,669,694,823,533,636,585,661
894,1245,935,1086,767,889,1547,1810,1059,1187
415,772,752,888,333,396,940,1105,407,477
1271,1490,801,911,1097,1310,1199,1409,1905,2162
1735,2618,3434,3617,2047,2276,4313,5648,4457,4614
1204,1443,454,560,953,1084,962,1144,943,1118
2590,2758,1316,1543,1740,1906,1905,2096,1940,2137
505,606,1182,1387,643,767,638,762,553,663
714,831,1075,1269,481,609,592,706,489,593
597,708,1751,2111,566,693,529,643,502,595
2063,2255,654,728,885,1378,1440,1918,1323,1468
1437,1581,644,748,1032,1273,1551,1687,572,706
582,690,645,754,493,589,511,614,572,690
591,701,1785,1934,514,610,505,622,433,506
1836,1936,700,992,1541,1682,1231,1773,718,793
683,757,626,724,531,836,531,645,525,632
544,627,679,800,477,610,545,670,600,709
587,707,861,1018,660,816,614,741,536,645
1631,1768,684,795,1260,1426,1316,1439,750,875
504,695,601,688,596,704,524,622,700,932
647,765,728,858,644,893,701,825,461,564
557,665,809,981,522,637,528,646,477,551
2110,2229,627,739,863,1152,1591,1971,1168,1337
1782,1885,582,682,1876,2011,2087,2199,1219,1384
517,576,638,764,330,408,427,517,345,432
364,424,800,906,319,385,329,394,380,425
317,379,1099,1275,305,367,329,411,286,329
484,559,548,627,507,625,480,542,346,419
380,454,347,416,429,501,330,380,363,441
281,406,444,514,352,424,371,444,339,420
1105,1203,425,546,563,668,713,1116,576,656
1173,1264,484,572,732,841,878,968,612,699
510,595,468,517,495,576,483,581,387,452
474,537,569,671,500,567,460,542,415,477
491,579,701,798,490,554,482,587,466,568
434,520,527,612,443,544,401,483,428,523
599,684,584,651,549,686,537,631,334,420
890,1097,512,595,1463,1579,1418,1558,612,723
537,638,471,565,529,616,486,700,424,507
516,599,572,670,522,610,563,658,480,560
1470,1616,691,830,839,1213,1339,1486,928,1075
433,511,650,747,577,650,603,691,525,625
463,544,613,710,404,510,454,542,449,529
435,516,746,936,473,633,559,664,372,455
1545,1677,636,706,1540,1635,1283,1471,878,1026
1377,1523,486,586,1972,2074,1869,2016,1140,1278
1129,1293,567,655,1268,1557,980,1153,643,777
1449,1568,782,934,1986,2094,1631,1800,722,876
505,570,908,1042,479,578,537,598,523,645
587,688,596,763,609,731,637,748,436,532
541,645,845,995,534,623,560,659,415,477
415,486,565,665,348,419,309,370,241,339
332,399,617,738,358,432,381,455,309,368
3878,4109,511,615,3464,3778,4070,4372,3806,3987
2219,2513,369,498,1771,2225,2843,3188,1949,2180
8149,8490,496,563,4943,6624,7603,7920,5377,5696
1578,2005,1475,1830,2158,2637,2171,2438,1295,1456
2076,2337,1618,1923,4206,4377,3661,3829,1372,1542
1156,1234,3347,3630,1456,1530,966,1042,410,485
447,524,1229,2070,529,617,362,443,265,408
461,548,1702,1816,369,572,528,612,369,439
916,1002,1248,1329,685,773,609,711,449,531
