Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
2212,2414,3433,2919,3621,3724,3954,4602,4336,4146,958,1072,1389,1290,1176,4851,5006,5502,5142,5358,1017,1101,1336,1253,1176
618,923,1138,819,1026,931,1032,1138,1217,1308,1014,1111,1364,1276,1190,870,1199,1301,1104,1001,1167,1280,1631,1505,1392
815,1220,1129,1035,913,743,1030,2573,2770,2961,1195,1303,1978,1486,1396,4301,4635,4544,4469,4387,1739,1861,2167,2079,1978
995,1458,1345,1226,1108,1060,1167,1253,1418,1328,1499,2564,3274,3123,2656,836,1213,1073,1000,925,5287,5448,5592,5726,5868
1025,1530,1408,1257,1659,1299,1407,1521,1632,1733,901,994,1313,1207,1106,563,800,739,683,627,1093,1182,1478,1362,1263
3695,3924,4120,3823,4028,1958,2310,3360,3181,3000,2507,3506,4079,4672,5255,2760,3074,3012,2952,2861,4896,5040,5378,5263,5150
1015,1491,1384,1266,1155,1097,1205,1466,1580,1672,872,1025,1400,1268,1155,719,1282,1152,1014,808,1136,1243,1538,1438,1344
743,1173,1061,967,855,855,949,1027,1132,1204,984,1089,1328,1242,1167,570,804,742,689,634,1065,1200,1474,1392,1306
879,1317,1204,1083,987,1015,1219,1332,1412,1467,2610,2711,2993,2896,2815,647,1001,904,822,738,3652,3752,4068,3958,3864
1088,1542,1447,1345,1242,911,1026,1123,1230,1338,765,1086,1389,1313,1188,636,979,890,806,724,1295,1406,1723,1605,1505
1646,2351,2241,2073,1865,1932,2134,2365,2554,2779,882,985,1317,1220,1105,1852,2675,2861,2155,2489,1116,1220,1481,1393,1314
5891,6776,6564,6347,6142,2303,4837,5322,5518,5107,835,924,1224,1122,1018,5275,5706,5612,5513,5397,1107,1197,1470,1385,1292
1659,1829,2254,2074,1970,1606,1872,2087,2319,2499,731,849,1160,1051,959,2301,2659,2981,2506,2815,1017,1123,1377,1301,1212
1281,1862,1769,1665,1537,1143,1258,1384,1507,1631,1285,1477,2057,1892,1705,857,1203,1108,1031,949,2159,2359,2801,2669,2528
2755,3155,3070,2973,2875,1250,1776,2564,2377,1981,5672,5891,6400,6216,6062,1798,2133,2040,1956,1880,5973,6169,6624,6462,6312
777,1173,1090,912,1003,875,1079,1245,1320,1160,2008,2205,3168,2980,2788,514,822,741,668,594,3185,3473,4088,3900,3691
654,962,1277,873,1154,1121,1247,1353,1439,1518,1129,1249,1586,1458,1355,542,818,746,681,614,1222,1337,1607,1519,1437
977,1668,1568,1470,1381,837,921,1220,1363,979,524,2098,2596,2494,2199,628,970,881,799,715,2466,2547,2775,2696,2618
1985,2466,2258,2169,2087,1407,1521,1779,1871,1670,746,854,1098,1008,936,1095,1310,1248,1175,1377,974,1054,1283,1202,1128
864,1233,1138,1045,960,788,892,996,1084,1200,1054,1151,1241,1428,1343,593,872,799,733,666,908,1011,1275,1197,1111
736,807,1167,881,1062,774,892,988,1099,1203,827,925,1186,1012,1100,570,886,776,710,643,1131,1235,1501,1425,1343
8160,8885,8710,8536,8363,9170,9377,9543,9715,9890,2051,2152,2426,2330,2250,8656,9317,9158,8998,8830,2098,2193,2441,2359,2278
1577,2547,2330,1912,2139,2596,2898,3137,3303,3445,963,1181,1441,1360,1276,2497,3235,3062,2889,2707,1041,1119,1204,1359,1284
2599,3311,3170,3012,2831,5923,6133,6306,6477,6638,878,1234,1512,1426,1330,3797,4436,4293,4148,3982,970,1053,1264,1201,1134
1784,2506,2355,2163,1976,1672,1878,2065,2254,2419,5319,5523,6047,5882,5713,2080,2743,2565,2404,2242,6808,7020,7599,7421,7242
5809,6515,6346,6191,6012,6717,6901,7066,7235,7400,2005,2220,2959,2754,2515,4233,4961,4806,4650,4479,1832,2099,2742,2535,2313
1444,2216,1946,1646,2086,1813,2490,2931,3126,3305,1545,3121,3630,3465,3293,1983,2385,2266,2138,2515,3442,3623,4074,3923,3774
670,749,944,879,808,775,844,899,961,1040,2461,2637,3116,2936,2792,283,720,651,594,528,1634,1807,2312,2140,1991
511,781,637,580,711,582,634,710,768,817,7621,7818,8318,8150,7987,245,599,547,501,452,7955,8146,8666,8520,8368
717,921,989,859,796,1848,1907,1974,2027,2080,2556,2806,3282,3133,2964,468,707,653,589,527,2235,2431,3291,3102,2843
567,864,799,730,635,506,577,635,711,774,883,1017,1206,1085,1150,237,623,565,513,458,952,1014,1209,1128,1069
503,736,682,627,572,626,699,778,845,910,662,735,912,863,799,281,591,555,523,488,552,707,824,883,762
858,1083,1023,955,1149,848,939,1032,1128,1210,2508,2569,2727,2676,2624,518,721,637,594,681,898,961,1248,1170,1020
2695,3203,3090,2976,2841,714,3315,4499,5883,6852,599,713,917,850,788,7763,10216,10448,10097,10344,577,760,879,941,821
1205,1776,1654,1355,1481,1154,1315,1478,1593,1723,614,678,854,733,795,1214,1597,1496,1404,1312,779,831,971,926,879
1258,1720,1605,1505,1393,992,1134,1404,1559,1694,609,700,871,797,751,1227,1618,1503,1414,1325,779,870,1101,944,1031
2872,3376,3261,3137,3016,3080,3253,3379,3498,3607,2541,4019,5378,5742,5576,2648,3083,2990,2896,2779,8230,9293,11087,10692,9683
1627,2740,2095,1960,2604,1427,1619,1924,2059,2160,928,1056,1604,1460,1208,1347,1556,1781,1459,1651,1433,1578,1862,1765,1683
3111,3441,3369,3294,3217,1739,1836,1919,1994,2064,1125,1290,1637,1526,1398,2801,3047,3128,2975,2891,1388,1523,1798,1727,1645
