Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
634,702,1025,1077,1126,1174,1221,1272,1334,1409,892,1076,982,1143,1243,1194,1444,1497,1547,1607
930,1020,1099,1174,1252,1330,1406,1622,1701,1796,1035,1281,1164,1398,1627,1513,1747,2207,2328,2445
703,795,1291,1365,1436,1506,1576,1646,1715,1801,692,800,747,863,1001,924,1272,1352,1430,1503
643,736,1226,1312,1397,1473,1544,1615,1684,1784,664,770,720,819,971,884,1184,1236,1285,1344
882,974,1056,1137,1217,1316,1572,1821,1912,1992,983,1134,1063,1203,1344,1272,1424,1667,1838,1751
613,672,1002,1056,1107,1155,1203,1251,1299,1359,569,674,623,953,1050,1002,1098,1145,1192,1251
1080,1186,1276,1359,1445,1526,1606,1828,2081,2172,1490,1682,1594,1771,1940,1854,2022,2105,2192,2273
639,699,1015,1066,1115,1162,1210,1258,1317,1366,542,649,599,929,1028,980,1077,1125,1174,1233
670,753,808,1094,1146,1196,1244,1292,1341,1400,915,1158,1067,1224,1409,1343,1489,1602,1693,1795
1306,1368,1421,1470,1529,1577,1624,1671,1718,1765,744,900,827,970,1107,1039,1358,1432,1506,1591
627,687,1029,1082,1147,1223,1298,1369,1449,1539,983,1156,1074,1235,1400,1317,1481,1706,1863,1779
911,1008,1096,1182,1264,1346,1632,2025,2122,2208,1519,1719,1627,1812,1995,1903,2083,2173,2263,2352
595,666,1164,1247,1327,1406,1505,1585,1662,1758,767,932,852,1011,1168,1091,1245,1479,1386,1558
948,1028,1103,1174,1246,1315,1389,1440,1489,1550,807,982,899,1068,1238,1153,1324,1580,1481,1665
1352,1485,1585,1691,1789,1887,1982,2094,2190,2285,711,822,771,871,965,918,1139,1188,1236,1295
1213,1302,1384,1465,1546,1626,1708,1788,1962,2060,736,844,794,893,988,941,1036,1084,1131,1191
1069,1171,1258,1343,1427,1512,1596,2021,2114,2197,1124,1331,1228,1413,1572,1492,1654,2115,2208,1866
637,733,1193,879,1257,1335,1408,1492,1577,1681,597,759,688,836,982,904,1196,1281,1366,1469
642,730,1102,822,1152,1204,1253,1313,1400,1510,601,762,693,840,1367,1287,1446,1524,1605,1702
1565,1672,1752,1839,1922,2022,2112,2199,2281,2362,1756,1928,1851,2000,2143,2072,2214,2299,2369,2440
585,646,964,1015,1064,1112,1160,1208,1265,1314,595,701,652,749,847,797,1049,1131,1190,1249
1191,1301,1396,1490,1579,1666,1749,1830,2000,2201,793,993,900,1480,1676,1578,1768,1857,1944,2052
864,923,974,1023,1071,1117,1168,1216,1270,1330,550,719,636,1072,1244,1159,1311,1391,1475,1576
