Client_0,Client_1,Client_2,Client_3,Client_4
626,831,743,937,1073
595,714,660,773,834
636,800,706,844,920
670,777,725,827,872
455,567,518,621,683
498,604,554,653,708
500,606,556,655,710
626,721,678,763,805
655,805,733,883,960
468,537,505,568,603
585,671,631,722,778
318,562,525,596,646
485,702,539,648,764
994,1200,1102,1300,1394
561,882,810,1015,945
631,776,703,843,898
687,1070,996,909,1152
800,1016,913,1115,1203
502,712,670,621,755
872,1042,960,1123,1202
982,1197,1095,1296,1398
518,729,676,910,824
913,1149,1066,1219,1286
484,909,825,984,1080
381,756,685,834,910
628,867,691,805,931
971,1139,1062,1215,1294
528,676,604,755,833
393,632,587,677,736
519,860,790,711,928
636,767,705,827,893
926,1075,1008,1140,1204
681,825,758,892,965
641,794,717,878,948
567,741,618,693,783
496,698,654,787,741
752,942,854,1025,1116
750,899,828,968,1046
568,791,617,700,745
500,790,726,919,852
777,954,870,1035,1116
843,1021,933,1100,1193
527,803,743,670,862
630,909,711,840,955
457,767,694,607,844
374,683,612,758,832
893,1051,981,1118,1183
598,776,649,726,818
604,892,685,818,962
608,849,674,785,911
1172,2023,1821,2417,2222
2110,2509,2339,2670,2829
2893,3372,3146,3592,3812
2313,2769,2556,2980,3217
2107,2520,2317,2695,2859
1622,2036,1837,2244,2433
1052,1563,1447,1795,1674
1614,2052,1831,2250,2505
1211,1973,1764,2412,2187
1512,1853,1694,2046,2260
1431,1792,1622,1964,2148
2212,2606,2419,2797,2976
2125,2515,2334,2711,2882
2154,2528,2362,2707,2875
1034,1327,1189,1469,1614
1162,1440,1300,1588,1772
730,1279,1194,1442,1357
1213,1448,1340,1554,1673
1486,1732,1617,2021,2149
1435,1718,1590,1839,1969
1537,1791,1674,1904,2017
1160,1454,1311,1598,1761
934,1141,1044,1239,1347
971,1131,1057,1205,1275
984,1169,1090,1240,1325
580,712,645,770,848
504,614,562,666,722
472,545,514,576,611
449,696,646,587,745
495,565,533,598,634
521,591,559,622,656
519,620,572,669,727
529,666,596,736,801
522,629,578,675,726
394,636,431,498,531
522,634,583,693,756
402,471,440,506,538
432,650,476,541,596
502,608,557,658,713
499,585,545,635,691
534,674,606,748,813
488,605,548,666,721
527,742,584,660,705
571,714,643,782,841
547,651,603,697,749
534,816,600,708,761
505,702,568,651,749
501,733,567,667,793
819,949,891,1006,1060
812,930,874,990,1058
616,746,685,808,876
714,845,785,903,961
784,913,853,975,1032
436,696,642,579,748
410,739,676,812,891
560,754,605,671,713
2135,2756,2403,3106,3463
785,915,857,973,1029
531,747,586,693,809
432,534,485,595,662
521,750,574,681,811
684,803,750,853,904
712,856,788,919,977
