Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
714,773,825,876,927,1236,1295,1351,1399,1527
609,684,750,811,870,10850,10898,10946,11084,11137
680,1161,1245,1307,1369,1433,1496,1550,1600,1650
579,648,712,769,835,10978,11038,11392,11454,11507
627,705,771,831,1135,1191,1248,1477,1523,1574
635,707,785,857,936,11189,11250,11316,11386,11450
1421,1489,1567,1635,1702,1769,1830,1889,1950,2011
1001,1071,1130,1187,1245,10866,10914,11155,11202,11251
508,564,617,671,719,975,1017,1212,1253,1295
542,613,677,738,796,10771,11156,11213,11268,11324
492,556,617,871,935,999,1483,1538,1579,1630
445,777,546,835,890,10936,10991,11046,11100,11449
589,639,683,1046,727,1102,1151,1199,1247,1360
503,574,636,695,747,11017,11069,11122,11170,11213
1387,1442,1492,1541,1590,1639,1682,1725,1768,1810
635,702,762,821,873,11051,11107,11171,11233,11295
469,737,794,570,854,1223,1275,1329,1382,1432
416,784,832,557,886,10962,11021,11072,11123,11174
437,628,666,701,749,1082,1127,1169,1211,1253
1131,1205,1265,1319,1366,10914,10969,11025,11317,11376
550,601,646,690,749,1060,1112,1158,1332,1382
490,542,601,657,712,13410,13568,13688,13803,13917
2192,2416,2631,2866,3041,3880,3978,4071,4159,4317
2098,2331,2549,2754,2955,15510,15810,16317,16660,16962
3795,4046,4375,4700,5022,7346,7739,8241,8755,9241
2282,2455,2616,2900,3160,15166,15479,15720,15903,16091
3572,3788,3978,4234,4618,6109,6266,6429,6610,6775
3133,3448,3754,4129,4492,13982,14217,14446,14670,14987
2562,2836,3083,3320,3569,5226,5490,5751,6045,6338
1404,1573,1754,1897,2007,12972,13183,13394,13605,14551
1682,1848,2090,2315,2528,3797,3930,4056,4184,4554
2486,2709,2917,3127,3329,12110,14127,14395,14716,14978
1473,1633,1790,3152,3453,3757,5112,5274,5438,5598
3140,3352,3557,3807,4006,11762,12567,12716,12851,12977
1167,1323,1469,2117,2228,2336,2975,3064,3142,3216
980,1069,1158,1241,1313,11106,11176,11243,11598,11675
653,725,791,851,921,1297,1358,1419,1638,1698
660,726,787,854,926,11858,11939,12021,12102,12183
1329,1418,1503,1595,1676,2173,2237,2303,2365,2429
714,776,834,891,949,11620,11677,11735,11813,11879
1221,1287,1345,1405,1462,1851,1894,1932,1971,2010
739,810,866,917,964,10914,10965,11018,11078,11136
562,618,670,720,769,1105,1150,1194,1237,1280
1496,1585,1662,1735,1848,11115,11172,11228,11536,11592
667,726,780,835,922,1247,1300,1351,1524,1574
515,741,573,836,867,10893,10961,11233,11282,11336
665,705,775,975,1010,1060,1104,1315,1357,1399
604,671,731,791,848,11070,11126,11182,11503,11567
670,739,799,857,915,1242,1295,1346,1544,1598
489,536,588,637,688,10825,11210,11275,11335,11384
547,606,663,941,1001,1059,1336,1372,1407,1442
659,716,767,817,867,11000,11051,11097,11140,11181
1340,1397,1447,1496,1544,1591,1633,1677,1722,1766
660,732,793,852,912,10836,10881,11117,11168,11212
502,558,605,650,695,939,979,1168,1208,1247
2013,2122,2224,2322,2419,11148,11192,11236,11281,11327
813,865,911,955,999,1290,1317,1342,1366,1390
564,641,671,700,816,13458,13507,13616,13696,13769
1482,1564,1757,2013,2272,2539,2786,3024,3277,3522
561,621,664,712,769,11036,11081,11125,11169,11213
507,551,760,818,862,1137,1190,1230,1269,1308
521,572,621,668,715,11300,11350,11402,11456,11521
922,988,1045,1100,1150,1479,1508,1548,1593,1638
480,535,572,612,755,10928,10965,11012,11047,11103
476,518,700,737,770,1047,1092,1137,1183,1222
490,525,555,583,706,10763,10806,11111,11153,11196
525,580,628,863,907,950,985,1155,1190,1224
503,565,626,678,843,11102,11155,11205,11483,11538
721,785,842,898,953,1257,1299,1344,1526,1569
649,698,742,787,832,11067,11118,11168,11442,11492
693,745,795,846,897,1190,1233,1283,1431,1472
545,613,671,728,785,11087,11144,11200,11247,11296
1512,1575,1634,1692,1748,1803,1852,1903,1957,2009
578,906,684,729,954,11312,11374,11439,11518,11584
579,1089,698,764,840,1510,1564,1618,1672,1724
498,815,592,632,670,11178,11235,11285,11334,11383
1571,1653,1734,1819,1903,1984,2051,2116,2180,2263
846,941,1019,1095,1173,10945,10985,11026,11236,11276
628,676,720,762,803,1031,1067,1101,1223,1257
610,913,982,732,1050,11146,11206,11266,11586,11646
751,828,891,952,1012,1353,1408,1460,1642,1695
1056,1126,1183,1245,1312,11097,11176,11599,11652,11706
682,761,837,911,1312,1381,1435,1668,1721,1778
621,671,712,754,918,11264,11336,11398,11753,11825
766,848,928,1006,1075,1476,1533,1587,1802,1866
555,872,914,662,707,11937,11996,12058,12127,12194
1478,1565,1636,1713,1776,2172,2229,2285,2353,2424
1211,1286,1364,1429,1496,11235,11297,11359,11432,11504
579,918,693,971,1039,1454,1516,1579,1641,1702
564,1018,674,736,1106,11158,11226,11290,11363,11436
500,842,615,894,962,1388,1451,1514,1576,1637
665,748,842,927,1161,11144,11203,11523,11573,11624
697,781,845,905,966,1292,1350,1768,1823,1878
444,756,528,586,799,11317,11385,11458,11532,11607
566,1007,691,1080,1145,1583,1645,1705,1761,1821
581,658,725,799,863,11101,11175,11709,11772,11835
