Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
1765,11755,11922,12110,12293,13757,13927,14097,14283,14456
1358,2990,3155,3299,3443,4511,4685,4877,5022,5167
2068,12193,12369,12599,12848,13066,14272,14456,14699,14914
1736,3317,3460,3604,3751,3906,4932,5098,5262,5368
1880,13322,11864,12051,12284,14001,14225,14421,14617,14807
1473,4882,3391,3540,3698,5115,5407,5670,5941,6206
1916,12125,12245,11874,11980,12570,12688,12808,12922,13041
1547,2990,3086,2188,2291,3188,3284,3378,3478,3595
1450,11403,11490,11584,11681,11777,11858,11936,12018,12100
1180,2075,2143,2210,2284,2350,2419,2481,2536,2589
1101,11399,11464,11521,11577,11633,11685,11741,11796,11851
2132,2213,2276,2339,2401,2462,2525,2589,2650,2713
664,10810,10871,10929,10986,11043,11100,11156,11213,11269
481,1198,1249,1299,1348,1398,1447,1498,1546,1597
1080,10938,10989,11037,10637,11125,11170,11215,11260,11306
374,1250,1291,1331,976,1372,1413,1453,1493,1533
618,10850,10890,10950,11010,11089,11570,11635,11682,11738
704,1225,1294,1333,1386,1431,1689,1717,1743,1771
579,10861,10905,10948,10655,11028,11071,11112,11155,11196
488,1129,1165,1200,875,1235,1271,1306,1343,1388
668,11238,11286,11334,11382,11428,11475,11521,11567,11614
1066,1553,1595,1636,1677,1718,1759,1800,1841,1882
609,10886,10673,10701,10735,10998,11029,11059,11090,11121
487,1034,794,822,848,1062,1089,1115,1141,1168
497,11316,11366,11414,11463,11511,11563,11621,11669,11715
1143,1666,1712,1765,1819,1866,1909,1949,1989,2029
520,10890,10938,10987,11044,11100,11154,11640,11694,11750
705,1227,1287,1334,1377,1422,1464,1683,1727,1772
590,10905,10954,11003,11056,11109,11174,11632,11685,11736
712,1250,1295,1337,1377,1418,1458,1663,1704,1744
624,10833,10887,10949,11006,11061,11115,11167,11220,11279
439,1213,1262,1309,1355,1401,1448,1494,1541,1592
491,10763,10813,10869,10927,11322,11377,11431,11488,11545
589,1034,1084,1132,1180,1515,1565,1610,1655,1705
460,10729,10765,10797,10828,10859,10889,10918,10949,10979
372,884,911,937,962,988,1013,1038,1063,1089
620,11092,10847,10883,10922,11216,11250,11283,11316,11349
588,1222,961,992,1021,1252,1281,1310,1338,1366
660,10861,10920,10978,11035,11539,11606,11664,11708,11747
677,1220,1277,1327,1375,1677,1711,1743,1774,1806
443,10856,10894,10628,10670,10996,11035,11071,11107,11146
447,1096,1128,841,873,1160,1203,1236,1268,1299
430,11170,11254,11331,10867,11491,11575,11661,11743,11830
680,1820,1886,1952,1321,2017,2084,2150,2215,2280
628,11057,11104,11167,10807,11294,11343,11389,11463,11537
608,1501,1568,1631,1125,1696,1762,1827,1891,1954
668,11305,11381,10907,10974,11589,11664,11743,11817,11889
706,1851,1906,1342,1408,1960,2016,2072,2125,2181
657,10985,11032,11075,11118,11160,11201,11244,11298,11351
544,1278,1341,1401,1458,1518,1577,1636,1694,1748
742,11120,11186,10799,10854,11355,11417,11479,11542,11603
627,1572,1625,1150,1203,1677,1731,1788,1849,1911
670,11007,11101,11184,11270,11346,11413,11968,12040,12108
780,1457,1520,1570,1637,1702,1764,2045,2107,2169
691,11198,11267,10844,10907,11459,11526,11597,11666,11745
662,1725,1781,1232,1289,1837,1890,1945,2010,2067
780,10968,11027,11083,11152,11221,11289,11359,11427,11496
553,1457,1519,1581,1639,1699,1773,1834,1897,1955
794,11766,11840,11316,11381,12101,12171,12234,12298,12361
1137,2332,2384,1886,1946,2437,2488,2539,2589,2640
642,11153,11219,11281,11343,11405,11476,11523,11565,11607
531,1521,1558,1595,1631,1667,1702,1737,1773,1809
761,10949,11039,11119,11199,11293,11355,12079,12170,12255
740,1544,1612,1679,1751,1821,1893,2239,2311,2383
987,10967,11046,11109,11171,11231,11297,11848,11919,11981
780,1408,1463,1520,1577,1631,1684,1941,1995,2047
1151,12860,12927,12984,13040,13095,13154,13211,13266,13320
5019,5109,5175,5234,5294,5350,5409,5468,5526,5585
1291,10913,10968,11037,11106,11175,11243,11311,11379,11448
772,1447,1510,1568,1630,1690,1750,1811,1869,1930
671,14561,14283,13950,13647,14818,15073,15387,15697,16037
1647,4545,4618,4683,4745,4809,4872,4951,5019,5080
1198,11736,11643,11548,11453,11827,11916,12008,12108,12201
1217,2450,2363,2269,2180,2541,2632,2724,2824,2924
1208,10944,11040,11097,11151,11206,11262,11318,11797,11865
732,1356,1404,1453,1501,1550,1601,1648,1828,1876
1111,11067,10687,10744,10802,11249,11310,11375,11430,11483
476,1434,1013,1065,1103,1477,1548,1591,1634,1685
595,11002,11056,11108,11162,11214,11266,11737,11796,11849
787,1328,1372,1413,1452,1493,1533,1760,1803,1844
698,11014,11079,11135,11192,11248,11296,11345,11395,11445
848,1410,1451,1491,1532,1574,1616,1655,1695,1736
540,10767,10805,10861,10920,10987,11024,11059,11111,11165
427,1123,1160,1205,1244,1272,1298,1325,1352,1378
603,10681,10726,10785,10835,10881,10928,11323,11370,11416
528,997,1037,1075,1113,1150,1188,1371,1409,1446
509,10902,10944,10606,10657,11088,11138,11182,11227,11272
392,1189,1229,863,909,1270,1315,1358,1402,1446
409,10807,10860,10911,10962,11012,11063,11514,11564,11614
649,1152,1199,1243,1287,1331,1377,1579,1624,1668
619,11640,11721,11799,11877,11955,12031,12107,12184,12259
1437,2236,2296,2354,2409,2469,2523,2575,2634,2690
742,10775,10811,10844,10884,10922,11185,11224,11262,11300
626,929,962,994,1025,1057,1246,1279,1312,1343
586,11604,11673,11741,11808,11875,11941,12008,12074,12144
1422,2118,2178,2240,2304,2362,2421,2479,2542,2599
1237,11012,11084,11140,11206,11270,11335,11399,11468,11538
540,1466,1528,1597,1659,1718,1779,1842,1904,1970
852,11036,11105,11171,11236,11303,11382,11447,12106,12191
843,1523,1595,1649,1707,1773,1852,1920,2171,2239
675,11071,11154,11233,11312,11388,11466,11543,11621,11693
863,1661,1725,1788,1852,1914,1976,2036,2095,2152
853,10849,10912,10975,11035,11097,11162,11781,11853,11909
668,1284,1354,1428,1491,1548,1613,1884,1946,2001
694,10864,10925,10993,11064,11498,11561,11624,11686,11748
678,1185,1238,1290,1341,1712,1764,1815,1865,1916
842,11093,11166,11236,11308,11376,11431,11505,11581,11654
895,1607,1671,1736,1799,1862,1925,1989,2055,2118
754,10893,10965,11039,11103,11168,11245,11317,11943,12014
715,1402,1472,1540,1602,1663,1722,1782,2009,2080
1133,11895,11986,12073,12158,12244,12329,12413,12498,12582
1666,2560,2613,2665,2715,2765,2815,2865,2916,2966
571,10996,11041,11085,11129,11187,11240,11292,11360,11428
547,1341,1403,1476,1531,1586,1634,1694,1754,1814
766,10888,10985,11085,11182,11283,11406,12268,12374,12447
711,1732,1807,1878,1949,2020,2090,2415,2471,2524
660,10912,10996,11075,11168,11237,11308,11379,11456,11533
722,1489,1554,1619,1683,1748,1812,1876,1940,2004
542,10990,11051,11109,11168,11226,11286,11357,12032,12104
813,1445,1489,1555,1614,1680,1735,1794,2091,2160
762,12062,12162,12259,12356,12457,12555,12648,12743,12840
1829,2829,2902,2971,3042,3113,3180,3250,3316,3386
745,10946,11020,11084,11153,11211,11281,11350,11423,11494
758,1454,1523,1584,1642,1701,1757,1808,1859,1909
673,10804,10867,10944,11010,11073,11687,11754,11817,11881
612,1302,1357,1412,1465,1520,1864,1922,1978,2030
784,11069,11152,11232,11311,11389,11465,12110,12217,12317
848,1637,1701,1758,1814,1867,1925,2312,2378,2439
1004,11114,11198,11273,11347,11421,11503,12161,12251,12322
903,1663,1731,1799,1866,1929,1987,2291,2352,2420
659,11123,11198,11270,11346,11433,11521,11627,11724,12578
923,1797,1870,1938,2006,2078,2147,2241,2356,2648
1212,10944,10999,11060,11121,11180,11239,11761,11820,11881
744,1338,1388,1436,1483,1530,1576,1814,1864,1911
651,11300,11364,11413,11463,11523,11587,11661,11722,11783
1750,1815,1871,1924,1979,2034,2087,2141,2199,2257
673,10912,10951,10988,10733,11058,11095,11131,11167,11204
486,1105,1138,1170,884,1202,1233,1265,1296,1327
522,11003,11055,11101,11147,11206,11265,11323,11381,11439
546,1350,1403,1452,1499,1546,1592,1639,1686,1732
619,10950,11015,11074,11132,11187,11242,11307,11369,11873
