Client_0,Client_1,Client_2,Client_3,Client_4
789,874,832,914,956
10517,10926,10614,10700,10768
734,951,779,868,908
10521,10761,10718,10622,10657
585,832,793,704,746
10587,10705,10653,10758,10814
781,861,824,898,938
10624,10896,10673,10747,10782
731,937,760,847,889
10640,10938,10678,10761,10797
696,934,741,840,886
10583,10788,10620,10674,10704
630,761,656,709,733
11181,12024,11830,12204,12380
1517,2547,2396,2704,2856
12517,12838,12687,12986,13133
3531,3826,3684,3969,4111
11808,12258,12033,12475,12693
2730,3035,2902,3163,3291
12398,12844,12638,13027,13176
3193,3457,3332,3584,3746
11535,11888,11718,12052,12218
2203,2476,2340,2611,2744
13397,14393,14158,14528,14639
4592,4788,4693,4892,4983
10732,11278,11192,10961,11047
975,1334,1295,1180,1247
10734,11131,10812,10884,10951
913,1202,968,1086,1141
10657,11029,10965,10804,10852
781,1143,1086,959,1021
10973,11093,11039,11145,11196
1143,1233,1189,1278,1322
10710,11092,10761,10875,10936
851,1113,900,1005,1055
10753,10909,10837,10980,11052
1020,1141,1081,1202,1316
10612,10766,10685,10820,10871
826,924,877,968,1010
10505,10829,10783,10633,10684
628,891,853,765,808
10502,10812,10766,10623,10670
618,882,832,751,790
10347,10650,10606,10694,10749
474,749,710,788,826
10620,10729,10682,10774,10820
770,848,809,883,920
10526,10733,10564,10619,10650
595,778,621,675,720
10539,10642,10592,10686,10730
683,759,722,797,835
10533,10783,10569,10648,10678
598,791,627,699,742
10468,10583,10525,10640,10690
646,732,688,778,821
10662,10804,10735,10869,10936
900,1004,953,1051,1100
10646,10728,10691,10766,10802
746,806,777,836,865
11040,11164,11109,11223,11277
1199,1294,1247,1340,1386
10660,10941,10900,10776,10819
749,972,940,867,901
10629,10900,10859,10740,10782
696,919,885,811,844
11030,11157,11101,11213,11268
1217,1315,1267,1361,1407
10838,10981,10914,11050,11117
1082,1200,1141,1259,1314
10790,10933,10865,11001,11073
1040,1157,1099,1217,1274
10807,10937,10875,11004,11071
1038,1161,1101,1222,1281
11085,11225,11160,11285,11342
1310,1422,1371,1473,1521
10577,10979,10911,10727,10775
722,1120,1046,917,979
10653,10976,10905,10767,10810
747,1054,1020,945,981
10592,10973,10932,10795,10848
784,1052,994,901,946
10680,10975,10901,11048,10757
710,1102,1050,1165,989
10826,10956,10902,11007,11070
1036,1137,1088,1190,1243
10616,11011,10937,10736,10806
778,1187,1127,996,1054
11024,11148,11092,11203,11257
1213,1308,1262,1354,1400
10824,10969,10898,11042,11119
1088,1198,1145,1250,1302
10816,10990,10910,11053,11114
1074,1177,1125,1230,1279
10808,10963,10886,11036,11112
1120,1232,1181,1284,1339
11050,11181,11122,11237,11292
1252,1346,1300,1393,1438
10783,10945,10865,10999,11048
998,1112,1061,1148,1183
10738,11140,10813,10884,10949
920,1221,971,1108,1162
10673,11079,11012,10821,10887
816,1174,1116,991,1050
10623,10717,10675,10757,10796
746,813,782,846,876
10691,10842,10765,10918,10992
978,1081,1031,1133,1183
10659,11045,10980,10779,10849
783,1151,1099,978,1035
11131,11305,11229,11396,11471
1432,1551,1493,1611,1669
10449,10887,10821,10950,11019
658,1067,1013,1121,1186
10741,10911,10828,10988,11060
1029,1159,1093,1226,1293
10755,10845,10805,10884,10922
850,933,888,965,997
11138,11306,11230,11382,11458
1433,1567,1502,1632,1696
10604,10748,10679,10820,10885
841,943,894,1000,1058
12095,12440,12277,12599,12768
2757,3219,2981,3382,3530
13032,13479,13263,13727,13905
3851,4028,3945,4115,4196
12279,12566,12436,12709,13756
4026,5754,4769,8516,10720
11524,12774,12554,12894,12188
2218,3172,3017,3279,2848
11508,11918,11746,12071,12261
2269,2516,2393,2636,2754
11785,12302,12074,12534,12758
2855,3209,3027,3336,3464
11301,11505,11408,11599,11710
1692,1824,1757,1886,1948
10993,11131,11066,11196,11260
1233,1328,1275,1367,1406
10593,10892,10841,10698,10743
656,941,898,807,851
47245,47133,47067,47185,47296
