Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
1194,1252,1309,1368,1426,1483,1540,1597,10871,10928
11508,11623,11728,11839,11939,12038,12134,12231,863,911
2247,2342,2437,2532,2627,2722,2819,2915,10972,11039
10666,10728,10783,10834,10882,10933,11383,11431,1007,1066
1031,1081,1130,1178,1226,1450,1526,1596,10794,10840
10720,10782,11127,11197,11260,11323,11386,11449,777,811
894,954,1404,1460,1516,1572,1627,1683,11371,11453
10623,10918,10960,10999,11037,11075,11113,11152,1425,1480
730,1044,1078,1110,1142,1174,1205,1236,10742,10803
11633,11810,11962,12105,12281,12458,12635,12774,752,797
2950,3108,3226,3383,3500,3655,3819,3948,11782,12188
12054,12258,12460,12665,12901,13123,13339,13552,1910,2200
3650,3824,3989,4174,4352,4519,4681,4830,13036,13209
13439,13663,13846,14010,14175,14340,14524,14704,3480,3646
4711,4859,5003,5152,5308,5502,5672,5810,13199,13417
11403,11537,12345,12461,12571,12682,12792,12940,3455,3612
1898,2063,2977,3154,3332,3516,3695,3864,12351,12534
11640,11850,12066,12238,12419,12607,14052,14248,2526,2682
2906,3058,3230,3410,3572,3733,4338,4518,12492,12697
11676,11826,11942,12057,12199,12332,12446,12555,2768,2945
2543,2634,2725,2817,2908,2997,3088,3185,12093,12266
11304,11411,11497,11605,11695,11770,11871,11948,2249,2338
1885,1945,2002,2060,2118,2175,2232,2290,10879,10956
10778,10864,10947,11023,11094,11169,11861,11931,900,959
1356,1431,1482,1546,1614,1675,1893,1957,10990,11039
10860,10936,10998,11062,11126,11185,11244,11312,1060,1102
1260,1309,1357,1401,1447,1491,1539,1582,10823,10893
10830,10910,10958,11004,11077,11130,11162,11496,800,841
1214,1244,1272,1298,1325,1351,1379,1443,10736,10838
10553,10598,10924,11003,11073,11140,11206,11272,853,913
735,791,1256,1303,1345,1389,1433,1477,10656,10720
10831,10904,10959,11019,11074,11126,11605,11663,687,732
1177,1222,1267,1307,1349,1389,1556,1602,11021,11097
10564,10610,10969,11014,11057,11100,11142,11186,1090,1137
755,795,1100,1138,1175,1212,1250,1287,10702,10742
10586,10630,10663,10695,10725,10756,10787,10820,690,718
763,791,817,842,868,894,920,946,10726,10769
11212,11279,11338,11395,11457,11516,11576,11634,718,747
1609,1662,1710,1759,1812,1868,1922,1970,10921,10983
10578,10622,10660,10723,10781,11294,11346,11396,903,954
951,1003,1052,1104,1152,1362,1408,1457,11184,11260
10842,10901,10953,11004,11056,11111,11172,11233,1240,1299
1188,1240,1306,1363,1415,1466,1516,1562,10773,10842
11109,11169,11227,11285,11344,11402,11459,11513,782,834
1733,1793,1851,1908,1965,2021,2083,2137,11158,11240
10635,10686,10986,11032,11083,11131,11190,11249,1284,1335
771,802,1174,1207,1256,1309,1361,1413,10818,10887
10666,10718,10787,11255,11308,11360,11412,11462,835,898
975,1020,1062,1378,1431,1493,1538,1597,11040,11091
10838,10925,10999,11071,11143,11213,11284,11350,1151,1204
1320,1377,1426,1477,1525,1577,1628,1679,10714,10781
10719,10776,10828,10879,10930,10981,11030,11521,753,804
1108,1154,1199,1243,1288,1333,1377,1495,10758,10824
10799,10879,10949,11017,11081,11145,11209,11271,758,805
1248,1303,1358,1412,1467,1520,1574,1628,10930,10997
10759,10827,10872,10923,10973,11019,11075,11137,974,1020
1056,1107,1158,1209,1261,1312,1364,1414,10894,10962
10612,10659,10696,10732,10767,10801,10834,10875,943,993
784,814,843,873,901,930,958,987,10982,11073
10811,10909,10994,11079,11160,11242,11879,11958,1074,1139
1447,1501,1553,1605,1655,1706,1934,2003,10789,10835
10755,10833,10896,10960,11023,11093,11162,11228,752,786
1218,1275,1333,1391,1450,1507,1566,1624,10922,10988
11665,11753,11828,11900,11970,12041,12113,12188,891,963
2182,2250,2317,2384,2450,2516,2583,2650,11384,11457
10821,10884,10930,10974,11018,11062,11105,11466,1519,1581
1063,1100,1136,1171,1207,1243,1279,1366,11072,11155
10874,10930,10976,11020,11066,11109,11152,11195,1111,1173
1141,1178,1214,1252,1287,1324,1359,1394,11393,11473
11650,11732,11802,11879,11947,12033,12112,12193,1455,1535
2177,2247,2315,2391,2461,2530,2597,2667,11094,11172
11005,11094,11171,11236,11299,11362,11438,11515,1121,1179
1541,1604,1671,1734,1801,1866,1936,2002,11073,11144
10964,11061,11147,11235,11317,11398,11476,11557,1062,1104
1540,1609,1676,1742,1809,1875,1944,2013,11070,11158
10676,11006,11053,11097,11140,11182,11226,11268,1128,1192
825,1178,1215,1251,1288,1323,1358,1394,11020,11104
10851,10904,10972,11020,11062,11103,11145,11187,1097,1164
1106,1143,1179,1214,1249,1287,1335,1382,11050,11146
11002,11095,11182,11267,11346,11412,11478,11548,1164,1235
1514,1580,1641,1696,1755,1814,1867,1924,10883,10936
10849,10948,11029,11108,11182,11258,11926,12003,894,935
1465,1530,1589,1651,1710,1766,1995,2063,10996,11073
11012,11110,11201,11288,11375,11460,11543,11626,972,1036
1618,1687,1758,1830,1899,1965,2031,2098,11039,11123
10848,10915,10973,11032,11090,11147,11207,11761,1095,1156
1256,1309,1361,1413,1465,1516,1567,1690,11307,11384
10987,11080,11163,11247,11319,11389,11453,11520,1352,1406
1479,1535,1593,1651,1711,1763,1815,1874,11110,11183
10788,10856,10917,10978,11039,11098,11654,11718,1050,1108
1214,1267,1319,1370,1424,1478,1684,1739,11004,11099
11638,11720,11787,11852,11919,11992,12064,12135,1093,1161
2051,2115,2178,2243,2310,2373,2435,2497,10941,11010
10786,10855,10932,11008,11212,11311,11382,11450,940,995
1435,1492,1546,1601,1650,1711,1776,1837,11424,11757
10778,10860,10931,11530,11607,11687,11767,11843,1981,2280
1205,1278,1344,1820,1885,1945,2001,2057,10904,10962
10629,10676,10979,11020,11060,11105,11159,11220,894,933
765,804,1167,1238,1311,1375,1430,1483,11050,11137
10906,10985,11058,11120,11184,11247,11310,11372,1132,1200
1334,1387,1439,1490,1541,1592,1644,1695,11040,11134
10632,10679,11037,11083,11127,11169,11210,11252,1115,1186
839,880,1184,1221,1258,1294,1330,1367,10788,10840
10613,10682,10760,10828,11389,11457,11527,11612,739,778
1075,1133,1190,1247,1595,1643,1686,1731,11309,11389
11471,11542,11601,11659,11715,11774,11829,11888,1368,1428
2148,2212,2267,2324,2383,2440,2499,2559,10782,10972
10812,10882,10948,11023,11442,11517,11593,11669,793,942
1082,1143,1206,1269,1644,1708,1772,1835,11003,11079
10659,10725,10786,11281,11345,11409,11473,11536,1019,1080
1004,1066,1125,1509,1561,1612,1663,1714,11067,11164
10829,10884,10961,11033,11104,11173,11821,11890,1142,1220
1302,1366,1430,1489,1552,1612,1823,1887,11042,11132
10826,10901,10974,11053,11123,11197,11261,11338,1106,1175
1275,1342,1408,1475,1541,1607,1672,1737,10971,11051
11031,11127,11204,11280,11349,11420,11488,11557,1033,1096
1522,1583,1638,1696,1754,1809,1864,1921,10860,10913
10990,11071,11144,11217,11287,11359,11430,12055,845,884
1560,1619,1673,1728,1783,1838,1893,2032,11277,11353
11094,11180,11252,11324,11395,11466,11536,11607,1427,1491
1538,1603,1663,1719,1777,1844,1907,1969,10967,11044
11705,11789,11859,11932,12012,12084,12155,12228,1157,1232
2191,2254,2317,2378,2442,2506,2571,2633,10867,10946
10811,10897,10966,11537,11613,11682,11762,11847,915,970
1246,1310,1369,1831,1889,1943,1997,2051,11077,11168
10768,10858,10948,11024,11110,11183,11876,11954,1143,1210
1376,1456,1513,1575,1649,1710,1939,2004,11247,11309
11247,11352,11430,11502,11578,11666,11745,11819,1363,1419
1790,1860,1931,2000,2070,2139,2207,2275,10977,11040
11035,11291,11381,11458,11531,11606,12520,12592,993,1044
1881,1949,2012,2194,2259,2321,2541,2605,10889,10963
11067,11146,11212,11278,11345,11411,11475,11540,897,953
1505,1563,1622,1676,1729,1784,1852,1919,11127,11223
10677,10739,10802,10856,10913,10967,11022,11086,993,1086
1059,1112,1168,1223,1279,1335,1391,1447,11766,11841
11536,11625,11709,11790,11868,11955,12044,12131,1840,1891
2117,2176,2231,2286,2339,2393,2448,2503,10798,10846
10678,10730,10792,10859,10904,10953,11016,11082,760,794
1145,1201,1251,1304,1362,1410,1458,1505,10950,11011
10799,10882,10959,11033,11106,11199,11841,11923,948,983
1440,1495,1547,1598,1653,1700,1922,1977,11344,11418
10781,10836,10886,10934,10994,11053,11113,11172,1377,1432
1110,1163,1216,1270,1322,1368,1415,1461,10743,10801
10595,10882,10921,10959,10997,11034,11070,11107,730,772
722,1029,1079,1117,1148,1180,1211,1241,10883,10970
10597,10637,10671,10702,11251,11309,11364,11419,959,1031
939,994,1045,1093,1373,1422,1471,1519,10861,10930
10591,10635,10935,10997,11057,11116,11182,11236,877,911
751,794,1197,1248,1301,1354,1406,1459,10847,10895
10739,10814,10883,11572,11667,11758,11848,11952,802,836
1307,1365,1420,1967,2034,2103,2172,2242,11055,11124
10865,10919,10962,11005,11048,11089,11129,11172,1081,1136
1069,1103,1137,1172,1205,1238,1271,1305,10972,11061
10774,10833,10877,10920,10960,11001,11044,11085,1046,1110
1013,1048,1082,1116,1150,1183,1217,1250,10987,11065
10773,10848,10907,10971,11031,11101,11760,11851,1003,1060
1276,1338,1402,1463,1526,1587,1829,1890,10906,10984
10764,10819,10894,10954,11018,11604,11693,11772,964,1025
1161,1225,1289,1351,1414,1724,1789,1852,10857,10910
11008,11103,11184,11265,11346,11436,11510,11600,831,867
1582,1649,1711,1818,1881,1945,2005,2070,11053,11124
10679,10994,11037,11079,11120,11181,11239,11291,1094,1160
807,1216,1277,1336,1393,1452,1510,1568,11023,11113
10883,10953,11012,11080,11127,11169,11211,11253,1104,1164
1168,1204,1240,1275,1334,1393,1443,1492,10918,10977
10793,10874,10949,11016,11075,11144,11197,11260,1048,1102
1320,1383,1446,1510,1572,1635,1698,1760,10857,10931
10699,10774,10844,10913,10978,11610,11678,11746,870,928
1209,1276,1336,1392,1452,1729,1799,1852,10794,10848
10785,11182,11258,11328,11397,11463,11532,11602,789,825
1009,1584,1643,1706,1765,1818,1871,1927,10776,10853
10897,10953,11026,11103,11176,11238,11281,11323,810,873
1256,1292,1326,1360,1392,1427,1460,1494,10824,10872
10720,10788,10857,10922,10988,11048,11584,11651,782,818
1154,1210,1267,1323,1379,1435,1634,1690,10928,11001
10691,11082,11166,11233,11295,11364,11433,11502,968,1019
903,1467,1522,1575,1629,1682,1734,1787,10979,11065
10717,10799,10873,11414,11485,11547,11609,11673,1039,1105
1136,1199,1258,1651,1705,1764,1819,1871,11195,11283
10704,10771,10830,10887,10946,11004,11538,11597,1241,1298
1114,1166,1217,1267,1317,1368,1546,1596,10956,11047
10921,11001,11076,11153,11223,11290,11359,11429,1010,1069
1389,1450,1508,1566,1629,1687,1742,1792,10894,10953
10764,10807,10858,10916,10988,11059,11131,11686,928,975
1168,1232,1295,1356,1412,1472,1532,1659,10826,10877
10783,10854,11266,11335,11405,11474,11539,11605,769,808
1041,1105,1577,1633,1688,1743,1796,1851,11085,11166
10841,10894,10937,10980,11021,11062,11103,11145,1121,1178
1043,1077,1113,1149,1185,1220,1254,1289,10765,10851
10941,10993,11034,11076,11117,11158,11198,11239,873,930
1191,1227,1263,1297,1330,1365,1399,1435,11222,11287
11587,11671,11743,11810,11872,11940,12004,12072,1360,1423
2032,2093,2156,2218,2280,2340,2400,2461,10851,10904
10862,10914,10957,10998,11040,11083,11124,11165,817,853
1037,1073,1108,1144,1178,1212,1246,1280,10731,10780
10955,11042,11115,11190,11281,11364,11444,11521,738,774
1549,1604,1658,1713,1766,1819,1874,1927,10994,11084
10876,10945,11021,11085,11146,11210,11271,11855,1060,1130
1368,1423,1477,1531,1584,1637,1690,1814,10872,10925
10890,10973,11041,11116,11188,11258,11328,11397,825,865
1374,1432,1486,1547,1610,1677,1739,1803,11366,11444
11284,11367,11435,11502,11568,12146,12204,12262,1397,1458
1725,1784,1840,1898,1954,2362,2422,2481,11250,11316
11217,11295,11361,11424,11487,11548,11611,11674,1369,1429
1622,1673,1721,1771,1821,1877,1941,2009,10875,10942
10896,10977,11043,11109,11179,11245,11309,11380,890,942
1390,1444,1496,1547,1598,1649,1700,1751,10934,11014
11380,11443,11496,11552,11610,11664,11717,11766,969,1024
1709,1754,1798,1840,1883,1926,1968,2009,10811,10858
10549,10594,10734,10794,10846,10899,10951,11007,769,816
595,975,1022,1069,1116,1162,1209,1255,10772,10835
10844,10928,11006,11083,11155,11200,11245,11729,771,818
1324,1371,1417,1464,1510,1556,1599,1704,11021,11091
10842,10913,10973,11042,11101,11164,11220,11696,1028,1085
1240,1284,1326,1368,1409,1452,1494,1610,10949,11005
10651,10718,10788,10853,10912,11377,11439,11490,917,945
1027,1079,1131,1183,1232,1457,1633,1686,10591,10708
10624,10656,10684,10942,10974,11005,11035,11067,555,646
703,731,757,943,971,999,1025,1051,10664,10712
10587,10621,10649,10676,10969,11002,11034,11065,621,668
731,760,787,816,1001,1048,1099,1145,10840,10889
10754,10822,10870,10923,10975,11028,11491,11543,938,988
1111,1154,1194,1234,1275,1315,1468,1510,10768,10822
10741,10806,10852,10901,10953,11006,11471,11522,794,836
1070,1111,1152,1193,1234,1275,1428,1470,10872,10938
10692,10773,10833,10893,10953,11010,11501,11568,890,935
1140,1185,1229,1273,1317,1360,1542,1588,10796,10862
10698,10769,10822,10875,10925,10977,11472,11522,785,837
1108,1156,1197,1254,1305,1346,1490,1527,10920,10999
11112,11175,11230,11290,11486,11588,11691,11789,993,1048
1771,1843,2167,2246,2316,2386,2455,2524,11390,11490
11094,11146,11196,11241,11463,11533,11631,11698,1152,1223
1682,1779,1840,1922,1989,2041,2097,2152,10787,10843
10579,10638,10692,10741,10794,10850,11355,11414,799,839
971,1019,1069,1116,1165,1213,1385,1434,13794,13848
10745,10818,10886,10944,11008,11557,11615,11674,3880,3926
1207,1258,1308,1359,1406,1637,1687,1734,10751,10815
11761,11824,11882,11948,12016,12078,12136,12202,783,832
1935,1979,2024,2066,2142,2233,2310,2387,10808,10865
10641,10698,10749,10798,10846,10895,11380,11431,821,866
1030,1077,1124,1166,1206,1246,1393,1439,10825,10887
10443,10680,10717,10750,10783,10817,10850,10885,848,891
529,804,835,862,890,916,943,969,10785,10839
10574,10627,10691,10748,10806,10870,11377,11436,805,850
1005,1055,1101,1144,1189,1233,1411,1460,12602,12679
12424,12497,12561,12627,12690,12752,12815,12875,2642,2682
2424,2473,2521,2572,2622,2656,2683,2717,10629,10674
10653,10695,10730,11048,11095,11139,11184,11229,618,665
758,807,850,1125,1170,1214,1260,1303,10730,10783
10596,10657,10987,11046,11108,11160,11211,11263,748,790
785,840,1222,1265,1306,1349,1390,1431,10823,10880
10539,10577,10605,10644,10944,10977,11007,11037,821,849
733,763,790,816,972,998,1024,1051,10769,10944
10798,10848,10897,10944,10990,11036,11082,11528,801,922
1042,1085,1126,1166,1207,1248,1289,1383,10870,10954
10828,10906,10981,11046,11121,11198,11267,11338,954,1021
1322,1382,1438,1495,1551,1607,1663,1719,10805,10851
10615,10660,10964,11006,11047,11107,11184,11247,764,798
797,836,1221,1277,1330,1387,1445,1508,10866,10914
10948,11030,11107,11179,11254,11340,11423,11503,794,828
1505,1579,1648,1717,1785,1855,1922,1990,11051,11144
10950,11046,11096,11140,11185,11228,11622,11665,1125,1188
