Client_0,Client_1,Client_2,Client_3,Client_4
10886,11177,11111,11043,10973
1129,1492,1311,1255,1194
10865,11067,11021,10977,10929
987,1252,1187,1121,1055
11231,11568,11490,11413,11331
1546,1827,1761,1688,1613
10653,10890,10824,11120,11042
872,1163,1100,1288,1229
11207,11508,11437,11368,11294
1461,1694,1637,1577,1520
10758,10954,10909,10861,10813
875,1025,988,951,914
10704,10839,10792,10976,10931
754,923,883,1002,966
10867,11184,11113,11044,10967
1140,1368,1311,1255,1200
10834,11142,11058,10984,10917
1095,1391,1321,1233,1164
11147,11472,11399,11327,11253
1428,1686,1624,1559,1494
10700,10951,11259,11188,11105
921,1225,1422,1363,1300
11199,11486,11418,11351,11280
1597,1788,1743,1706,1666
10848,11168,11091,11016,10938
1135,1403,1335,1268,1203
10788,11097,11030,10959,10872
1048,1278,1219,1162,1106
10816,10982,10943,10903,10863
1039,1198,1159,1120,1081
10582,10816,10763,10704,10644
778,975,928,878,831
10629,10875,10819,10762,10694
844,1066,1012,957,899
10488,10888,10842,10795,10744
581,939,899,859,817
10697,10908,10856,10807,10755
832,1016,973,930,884
10630,10855,10801,10746,10689
819,1013,965,917,868
10854,11018,10947,11218,11151
985,1234,1177,1324,1282
10762,10975,10919,10869,10819
924,1097,1055,1013,970
10628,10824,10763,10699,10937
792,996,949,901,1049
10590,10745,10689,10912,10853
689,907,858,1006,959
10627,10831,10783,10734,10683
758,934,891,847,802
10930,11135,11087,11040,10990
1251,1451,1396,1347,1299
10809,11019,10969,10920,10868
1129,1343,1293,1231,1181
10739,10981,10923,10860,11105
945,1194,1142,1083,1248
10621,10848,10794,10739,10683
822,1018,971,922,873
10738,11053,10958,10892,10815
1031,1249,1195,1143,1089
10668,10959,10901,10833,10755
915,1110,1062,1015,966
10761,11020,10962,10902,10838
950,1182,1124,1058,1006
10712,10937,10867,10793,11076
905,1164,1104,1040,1231
10696,10970,10908,10843,10772
892,1102,1047,996,946
10658,10868,10819,10769,10718
822,1087,951,909,866
10628,10849,10798,10743,10687
780,932,894,858,820
10901,11264,11176,11087,10997
1259,1573,1497,1419,1339
10521,11154,11094,11034,10970
792,1269,1218,1166,1111
10671,10889,10840,10786,10733
829,998,961,914,872
10587,10788,10728,10886,10856
715,827,801,879,854
11248,11769,12279,12136,11975
1693,2226,2557,2424,2324
12209,12484,12731,12973,13214
3290,3558,3802,4135,4696
11797,11984,12606,12472,12318
2014,2552,2906,2796,2683
11567,12236,12066,11927,11754
2210,2757,2637,2509,2364
11327,12141,11944,11696,11516
2120,2624,2493,2362,2230
11874,12406,12280,12156,12021
2763,3164,3074,2985,2895
10904,11220,11152,11077,10989
1161,1382,1330,1275,1215
10463,10676,10616,10835,10785
642,842,797,931,889
10638,10754,10696,10917,10863
711,911,864,1007,963
10641,10826,10763,10968,10919
787,966,922,1055,1015
10660,10849,10793,10732,10954
786,974,930,883,1027
10634,10823,10779,10735,10688
764,917,879,841,802
10679,10892,10841,10788,10737
814,997,952,908,862
10726,10936,10887,10831,11030
885,1056,1019,978,1104
10493,10615,10582,10710,10681
549,664,638,718,693
10591,10764,10716,10656,10864
719,903,854,810,955
10467,10596,10563,10530,10660
536,652,625,597,682
10631,10838,10792,10743,10693
801,988,946,904,860
10666,10899,10832,10755,11029
860,1089,1039,985,1146
10625,10815,10756,10707,10933
741,942,902,852,992
10591,10720,10866,10831,10795
624,765,857,828,799
10647,10855,10806,10757,10706
759,928,887,845,803
10679,10953,10890,10825,10758
914,1116,1065,1016,966
10558,10698,10660,10805,10770
