Client_0,Client_1,Client_2,Client_3,Client_4
776,833,876,914,1049
10538,10744,10813,10880,10946
592,912,973,1029,1082
10573,10843,10915,10984,11063
663,1036,1104,1169,1234
10682,10755,10822,10906,10980
978,1043,1099,1154,1207
10904,10980,11053,11124,11195
1358,1434,1505,1576,1645
10712,10777,10847,11205,11275
884,953,1015,1219,1279
10671,10721,10765,10978,11020
739,775,811,936,983
10629,10683,10727,10771,10988
691,727,762,797,879
10651,10700,10744,10959,11000
708,745,781,903,940
11184,11289,11384,11467,11548
1548,1623,1699,1776,1875
10755,10830,10898,10964,11031
968,1028,1085,1142,1198
10673,10897,10974,11043,11109
703,1064,1122,1180,1239
10759,10853,10941,11026,11119
1064,1134,1207,1280,1344
10800,10907,11003,11098,11184
1163,1228,1289,1358,1429
10775,10855,10932,11008,11082
1012,1081,1146,1212,1279
10599,10849,10924,10998,11073
641,1016,1087,1152,1211
11012,11088,11158,11226,11293
1246,1307,1367,1427,1487
10731,10816,10892,10976,11051
1032,1100,1170,1252,1344
10806,10913,11015,11111,11224
1223,1305,1386,1451,1518
10702,10759,10809,11128,11207
809,852,914,1130,1194
10953,11050,11130,11210,11291
1260,1435,1524,1595,1664
10691,10747,10794,10849,10902
825,877,944,1007,1071
10693,10893,10976,11049,11124
719,1095,1163,1229,1293
10708,10801,10880,10966,11366
1001,1068,1129,1188,1326
11186,11273,11349,11425,11498
1461,1526,1590,1652,1715
10755,10857,10945,11326,11420
1003,1065,1135,1389,1448
12691,12796,12907,13000,13081
1839,1914,1981,2043,2106
10687,10753,10805,10855,11103
784,828,897,939,1036
10668,10766,11128,11213,11295
811,885,1216,1281,1341
11021,11091,11152,11211,11270
1410,1472,1530,1587,1646
10920,11004,11079,11160,11239
1220,1289,1357,1420,1487
10835,10918,10985,11049,11112
1054,1115,1170,1245,1301
10731,10811,10898,11179,11257
853,919,981,1199,1267
10836,10930,11026,11115,11206
1174,1252,1331,1409,1487
10841,10927,10998,11082,11165
1083,1154,1227,1304,1378
10634,10727,10852,11234,11327
934,996,1055,1308,1368
10638,10708,11111,11204,11286
876,948,1261,1324,1384
10685,10902,10984,11066,11143
717,1110,1173,1231,1296
10599,10820,10869,10917,10963
666,914,968,1034,1101
11145,11251,11350,11449,11547
1509,1578,1644,1710,1775
10709,10783,10855,11215,11285
902,964,1024,1233,1294
10706,10774,10825,11088,11139
862,904,945,1089,1129
11308,11425,11528,11628,11733
1721,1786,1854,1917,1982
10643,10732,11150,11228,11317
883,981,1302,1367,1427
11013,11095,11168,11242,11315
1528,1613,1696,1775,1852
10648,10708,10759,10807,11052
767,809,848,888,980
10908,10991,11069,11146,11222
1152,1216,1284,1352,1415
10692,10768,11083,11167,11244
810,885,1210,1277,1342
10634,10717,10801,11130,11196
855,903,960,1169,1236
10798,10859,10930,10999,11068
987,1041,1095,1154,1212
10704,10783,10859,10934,11012
978,1052,1152,1237,1315
11059,11188,11306,11425,11542
1544,1657,1773,1890,2004
10704,10774,10837,11219,11291
871,940,1006,1215,1275
10823,10911,10999,11100,11190
1184,1263,1341,1421,1498
10796,10854,10904,10952,11000
891,932,971,1012,1051
10679,10762,10842,10914,10983
959,1020,1081,1157,1226
10780,10873,10951,11046,11178
1166,1238,1316,1383,1458
10692,10774,10850,10924,11371
918,987,1052,1119,1318
11234,11365,11481,11603,11720
1722,1807,1883,1958,2019
10750,10841,10912,10978,11044
976,1036,1093,1149,1207
10687,10752,10815,10893,11247
898,943,985,1025,1181
11322,11441,11554,11661,11766
1757,1830,1896,1960,2022
10868,10953,11033,11110,11187
1187,1251,1313,1373,1433
10818,10921,11018,11113,11237
